Date;Time;Temp_C;Hum;Press_Bar;TempCabine_C;Charge;SR_Wm2;WindPeak_ms;WindSpeed_Inst;WindSpeed_Avg;WindDir_Inst;WindDir_Avg;Estacao
01/04/2025;03:00;21.79;71.21;1020.0;21.89;12.8;769.0;0.0;5.27;6.83;60.83;47.79;A;
01/04/2025;03:10;29.2;69.66;1018.26;19.15;13.01;866.54;5.5;0.02;3.05;189.19;242.71;A;
01/04/2025;03:20;28.42;30.35;1015.34;22.72;12.57;639.54;8.22;0.53;8.96;314.08;112.41;A;
01/04/2025;03:30;20.64;38.83;1022.31;29.78;12.79;289.17;11.36;0.43;0.65;1.49;203.41;A;
01/04/2025;03:40;34.43;77.96;1011.39;22.58;12.63;200.41;11.82;8.77;9.35;216.06;207.0;A;
01/04/2025;03:50;27.26;42.13;1013.5;26.64;12.99;26.36;0.76;5.07;4.28;73.0;232.08;A;
01/04/2025;04:00;20.47;84.12;1011.78;13.94;12.79;197.21;8.86;6.75;5.3;144.37;40.65;A;
01/04/2025;04:10;11.91;64.16;1008.59;21.25;13.16;768.36;4.97;9.89;6.11;346.71;86.79;A;
01/04/2025;04:20;18.29;67.37;1018.57;16.6;12.82;758.15;8.28;0.66;0.92;216.64;106.6;A;
01/04/2025;04:30;25.43;78.95;1014.2;23.43;12.65;292.45;2.72;5.03;8.0;75.03;223.84;A;
01/04/2025;04:40;6.55;43.72;1019.18;24.67;12.75;331.92;3.94;8.97;5.92;156.28;317.46;A;
01/04/2025;04:50;27.76;48.23;1011.88;24.29;12.57;229.1;8.79;6.3;2.95;209.69;196.25;A;
01/04/2025;05:00;23.98;65.01;1010.55;27.24;12.73;396.14;2.01;5.92;6.11;190.34;111.26;A;
01/04/2025;05:10;20.17;32.33;1021.62;26.35;12.69;684.61;2.46;6.28;0.1;232.02;246.75;A;
01/04/2025;05:20;25.08;43.54;1016.25;25.27;13.06;358.71;8.96;2.99;3.28;65.63;205.78;A;
01/04/2025;05:30;22.1;82.95;1018.36;15.43;13.14;106.84;10.23;8.35;3.87;21.64;130.04;A;
01/04/2025;05:40;23.61;40.4;1009.39;20.53;12.99;116.53;2.46;9.59;9.19;187.81;212.03;A;
01/04/2025;05:50;25.06;44.37;1015.37;26.58;12.6;380.29;4.72;0.99;1.61;260.38;330.84;A;
01/04/2025;06:00;25.6;75.58;1014.01;25.95;12.63;897.79;4.82;7.36;3.48;203.59;274.47;A;
01/04/2025;06:10;27.99;64.56;1013.24;16.73;12.67;668.67;5.21;2.51;7.31;176.61;4.9;A;
01/04/2025;06:20;24.66;31.89;1015.95;24.17;12.91;325.87;7.66;2.06;2.24;119.07;321.99;A;
01/04/2025;06:30;18.66;62.32;1019.27;19.15;12.89;648.74;6.69;7.55;8.43;193.54;141.93;A;
01/04/2025;06:40;14.07;59.81;1016.43;26.53;12.51;420.85;10.64;9.27;3.01;276.91;200.79;A;
01/04/2025;06:50;18.78;77.86;1020.47;20.81;13.07;544.25;6.39;0.21;4.05;74.35;75.87;A;
01/04/2025;07:00;16.21;47.9;1011.66;28.82;12.62;61.01;6.27;5.77;9.97;207.57;146.57;A;
01/04/2025;07:10;24.34;37.55;1005.59;22.61;12.86;387.95;9.07;7.94;9.17;331.25;354.58;A;
01/04/2025;07:20;31.76;53.33;1019.95;28.04;12.92;774.43;1.09;3.12;4.77;79.32;226.18;A;
01/04/2025;07:30;26.13;54.53;1019.71;25.67;12.56;544.78;7.66;1.6;2.01;0.05;330.39;A;
01/04/2025;07:40;19.05;52.73;1020.83;24.65;12.74;554.95;10.4;2.73;6.74;191.71;8.16;A;
01/04/2025;07:50;36.19;59.51;1021.33;24.48;12.98;574.71;6.29;5.86;1.89;169.48;133.07;A;
01/04/2025;08:00;24.96;85.94;1018.93;21.9;12.99;265.5;9.49;1.27;3.53;195.78;136.55;A;
01/04/2025;08:10;25.5;72.43;1013.57;25.58;13.15;469.01;7.23;1.44;2.69;143.74;352.62;A;
01/04/2025;08:20;19.43;72.35;1018.46;20.12;12.65;728.15;6.91;1.88;1.64;309.85;167.06;A;
01/04/2025;08:30;27.54;88.24;1015.47;20.17;12.7;132.45;5.09;8.19;5.76;15.02;271.09;A;
01/04/2025;08:40;16.77;31.88;1018.24;29.44;12.86;832.8;6.09;7.13;1.97;40.09;5.62;A;
01/04/2025;08:50;20.52;76.78;1023.71;19.62;13.17;522.12;6.17;5.14;9.95;116.08;209.8;A;
01/04/2025;09:00;27.82;32.58;1021.82;21.0;13.03;398.08;8.96;8.12;3.12;114.45;171.37;A;
01/04/2025;09:10;17.95;34.64;1007.11;21.38;13.18;304.38;6.42;6.46;1.31;304.01;204.56;A;
01/04/2025;09:20;15.37;42.81;1009.42;25.85;13.08;600.26;6.59;2.28;3.8;359.15;313.18;A;
01/04/2025;09:30;13.85;75.55;1011.1;25.88;12.57;850.7;11.05;1.26;2.12;222.45;260.5;A;
01/04/2025;09:40;28.33;61.52;1017.02;26.45;12.8;845.64;8.12;4.54;1.98;352.29;124.65;A;
01/04/2025;09:50;13.66;52.02;1015.24;23.08;12.57;359.06;9.04;9.87;3.21;84.06;134.77;A;
01/04/2025;10:00;18.71;63.94;1022.48;17.41;12.58;224.94;9.13;4.67;2.36;257.52;162.97;A;
01/04/2025;10:10;16.32;73.21;1024.79;25.04;12.62;687.52;11.33;2.7;2.1;112.19;158.65;A;
01/04/2025;10:20;22.94;59.74;1020.49;22.4;12.71;394.84;6.97;6.66;0.88;43.8;171.03;A;
01/04/2025;10:30;28.0;56.86;1011.4;18.63;12.77;72.22;4.55;9.8;6.79;270.81;186.45;A;
01/04/2025;10:40;19.59;72.47;1008.61;23.14;12.7;309.81;0.05;8.07;0.75;163.57;14.03;A;
01/04/2025;10:50;24.23;46.03;1014.45;26.93;12.82;313.65;9.41;4.81;0.22;17.84;336.94;A;
01/04/2025;11:00;19.76;46.61;1017.85;28.01;12.9;240.46;10.47;2.47;1.39;348.89;296.4;A;
01/04/2025;11:10;15.4;71.71;1004.58;24.46;13.03;630.92;0.59;2.27;0.65;244.31;265.02;A;
01/04/2025;11:20;10.22;64.44;1009.48;25.49;12.53;529.89;0.81;3.32;9.75;247.33;324.7;A;
01/04/2025;11:30;28.85;78.73;1018.14;31.44;13.1;125.23;5.56;1.76;4.42;256.55;352.45;A;
01/04/2025;11:40;28.15;32.79;1006.02;20.47;12.6;433.73;7.31;4.68;4.89;135.95;140.82;A;
01/04/2025;11:50;23.73;39.76;1015.5;19.2;12.67;822.85;4.76;1.83;1.79;286.14;166.84;A;
01/04/2025;12:00;21.71;83.67;1014.63;22.9;12.86;51.5;11.09;9.86;1.5;133.56;310.5;A;
01/04/2025;12:10;25.84;88.38;1013.06;24.48;12.82;83.11;7.91;8.38;9.08;300.67;120.16;A;
01/04/2025;12:20;28.72;67.86;1018.79;24.59;12.75;274.59;0.52;0.53;1.96;280.08;306.53;A;
01/04/2025;12:30;29.03;34.73;1012.98;29.37;12.52;872.65;8.96;0.1;6.5;209.25;230.83;A;
01/04/2025;12:40;12.12;31.73;1005.53;23.04;12.66;782.8;7.85;1.31;2.73;217.2;36.24;A;
01/04/2025;12:50;14.51;38.37;1007.63;21.54;12.61;221.55;2.51;4.09;5.46;129.19;93.73;A;
01/04/2025;13:00;11.26;64.1;1018.95;29.69;12.62;377.93;6.98;5.84;1.78;123.43;103.81;A;
01/04/2025;13:10;13.01;77.78;1015.48;23.99;12.57;371.61;11.38;4.43;5.91;192.81;4.23;A;
01/04/2025;13:20;17.85;71.5;1023.99;28.87;12.6;8.18;9.32;3.63;9.47;0.4;181.01;A;
01/04/2025;13:30;16.1;43.08;1013.87;23.53;12.95;529.35;4.4;4.96;9.7;356.1;75.3;A;
01/04/2025;13:40;19.18;87.2;1012.41;26.13;13.0;66.28;7.95;0.34;5.9;276.93;256.61;A;
01/04/2025;13:50;21.97;86.3;1020.88;22.24;12.66;323.32;5.0;1.89;9.92;110.95;279.07;A;
01/04/2025;14:00;21.04;84.69;1008.64;24.61;12.72;624.72;6.29;6.7;5.76;90.83;274.13;A;
01/04/2025;14:10;20.73;39.35;1023.58;18.87;12.52;81.62;7.43;1.68;6.48;285.92;59.58;A;
01/04/2025;14:20;21.6;36.44;1015.96;19.91;12.99;607.9;8.78;0.25;8.89;200.65;13.15;A;
01/04/2025;14:30;18.12;72.37;1006.51;21.62;12.7;93.22;9.48;0.51;4.85;119.97;7.89;A;
01/04/2025;14:40;24.24;81.62;1017.06;21.81;12.72;464.2;7.82;3.96;7.29;254.5;285.73;A;
01/04/2025;14:50;13.66;76.21;1022.18;17.32;13.01;398.15;1.94;4.68;1.86;33.35;133.38;A;
01/04/2025;15:00;15.85;47.02;1010.61;24.17;13.0;480.82;1.75;0.12;6.85;186.58;300.62;A;
01/04/2025;15:10;16.97;65.12;1016.4;22.79;12.79;283.54;2.0;8.32;9.89;29.95;120.81;A;
01/04/2025;15:20;25.68;44.41;1014.99;35.16;12.98;111.37;2.85;3.43;5.62;270.76;189.92;A;
01/04/2025;15:30;14.09;81.83;1014.64;26.89;12.94;835.81;5.84;2.79;8.1;80.34;3.65;A;
01/04/2025;15:40;11.39;86.46;1013.4;23.51;12.52;735.11;0.21;4.67;0.8;331.25;14.68;A;
01/04/2025;15:50;28.02;32.53;1010.45;27.84;12.56;879.01;7.38;5.24;1.99;314.42;76.97;A;
01/04/2025;16:00;33.68;70.02;1012.71;17.28;13.0;195.34;10.13;9.1;5.5;83.69;31.93;A;
01/04/2025;16:10;22.63;89.52;1015.73;23.13;12.77;49.46;10.05;7.47;0.4;115.19;47.48;A;
01/04/2025;16:20;19.35;74.34;1018.06;28.09;12.99;771.13;8.27;6.97;8.6;121.3;245.21;A;
01/04/2025;16:30;28.69;69.96;1005.62;31.3;12.88;440.34;11.22;9.3;2.4;31.81;341.89;A;
01/04/2025;16:40;20.95;47.86;1019.63;24.48;12.92;231.66;3.74;6.37;5.72;221.52;335.65;A;
01/04/2025;16:50;21.3;71.32;1017.09;21.95;13.13;867.17;4.01;5.74;5.71;181.53;150.42;A;
01/04/2025;17:00;17.22;72.94;1015.14;24.17;12.59;129.75;2.59;2.3;0.17;3.03;312.44;A;
01/04/2025;17:10;11.37;54.93;1019.92;31.78;12.51;19.39;3.92;2.81;1.69;328.89;52.47;A;
01/04/2025;17:20;21.57;42.85;1022.0;17.91;12.86;502.37;2.15;6.68;2.17;242.18;31.88;A;
01/04/2025;17:30;19.68;51.03;1011.38;28.79;12.8;513.62;3.02;8.82;0.85;266.6;99.71;A;
01/04/2025;17:40;18.96;77.03;1016.33;24.36;13.16;311.13;4.6;6.17;1.54;277.59;161.55;A;
01/04/2025;17:50;26.05;75.91;1006.19;34.23;12.79;753.38;5.55;3.81;3.26;319.87;152.41;A;
01/04/2025;18:00;21.27;32.27;1019.36;23.22;12.96;714.89;2.38;8.24;4.07;164.95;322.75;A;
01/04/2025;18:10;25.18;78.46;1021.44;24.97;12.68;780.51;1.29;5.92;4.78;152.49;141.77;A;
01/04/2025;18:20;19.92;59.49;1010.93;18.68;13.09;120.62;0.04;0.57;4.69;277.85;260.95;A;
01/04/2025;18:30;26.08;88.14;1016.12;23.96;13.17;282.7;3.72;0.92;3.62;36.97;118.84;A;
01/04/2025;18:40;27.94;74.25;1020.42;26.76;12.86;625.85;6.98;0.29;5.06;164.6;299.31;A;
01/04/2025;18:50;27.45;36.2;1017.71;21.14;12.98;62.99;3.19;5.98;2.95;280.94;333.8;A;
01/04/2025;19:00;25.44;51.74;1015.17;25.46;12.58;533.45;11.26;6.73;6.79;188.38;58.61;A;
01/04/2025;19:10;14.89;87.52;1019.66;27.25;13.14;535.9;8.32;2.12;4.4;280.25;253.81;A;
01/04/2025;19:20;26.9;46.57;1012.24;27.54;12.82;253.11;7.62;2.0;8.54;216.63;7.84;A;
01/04/2025;19:30;24.0;87.05;1007.62;23.45;12.71;295.67;6.85;8.78;3.35;147.57;55.65;A;
01/04/2025;19:40;11.0;67.15;1021.24;17.52;12.61;63.96;1.9;5.74;1.76;144.54;123.12;A;
01/04/2025;19:50;19.48;77.21;1011.66;28.8;12.86;698.84;1.71;9.8;5.1;156.79;72.56;A;
01/04/2025;20:00;23.24;72.94;1017.12;21.83;12.59;627.58;3.27;2.96;7.98;229.92;140.39;A;
01/04/2025;20:10;27.68;50.65;1015.2;25.86;12.72;207.23;2.67;8.04;3.56;278.06;142.88;A;
01/04/2025;20:20;24.58;30.2;1011.5;29.52;12.64;643.26;1.39;5.32;1.46;46.15;341.16;A;
01/04/2025;20:30;14.3;39.69;1011.62;21.61;12.53;813.52;1.93;2.06;4.59;245.86;145.03;A;
01/04/2025;20:40;31.23;77.03;1028.79;21.09;12.66;210.79;9.14;3.09;4.3;61.2;333.5;A;
01/04/2025;20:50;26.93;81.37;1019.84;15.25;12.57;609.68;1.93;1.6;1.72;139.09;104.4;A;
01/04/2025;21:00;16.39;30.38;1012.78;21.28;12.85;157.66;2.51;0.65;9.57;52.85;34.4;A;
01/04/2025;21:10;18.43;58.81;1013.39;19.82;12.56;765.86;6.86;4.67;9.87;91.98;68.58;A;
01/04/2025;21:20;14.75;46.17;1018.15;18.48;13.07;20.8;11.67;1.19;0.9;295.96;176.39;A;
01/04/2025;21:30;24.21;48.36;1013.08;15.96;12.98;682.22;8.4;4.42;3.83;156.47;285.33;A;
01/04/2025;21:40;16.34;69.37;1012.36;28.4;13.1;189.23;11.08;9.73;1.63;13.17;195.06;A;
01/04/2025;21:50;16.87;44.4;1021.05;27.02;12.94;554.06;2.2;3.63;7.84;309.62;311.82;A;
01/04/2025;22:00;18.59;78.61;1005.99;22.94;12.8;467.19;11.08;7.92;3.9;72.41;146.85;A;
01/04/2025;22:10;18.02;76.55;1005.99;26.09;12.8;623.2;9.18;5.71;6.34;82.98;110.76;A;
01/04/2025;22:20;28.91;75.84;1014.77;22.03;12.89;367.19;4.63;3.59;2.25;4.83;328.22;A;
01/04/2025;22:30;17.41;69.74;1005.57;28.34;12.77;792.06;0.89;3.97;5.52;25.98;109.03;A;
01/04/2025;22:40;17.88;79.9;1016.62;19.52;12.67;247.39;2.08;8.26;9.42;341.23;9.01;A;
01/04/2025;22:50;21.27;70.56;1016.95;21.14;13.14;674.64;2.79;3.09;9.53;261.01;9.5;A;
01/04/2025;23:00;16.83;56.16;1018.36;25.44;13.05;590.02;7.72;6.07;0.77;243.35;333.85;A;
01/04/2025;23:10;17.27;58.76;1011.92;19.5;12.57;196.45;5.07;1.52;8.57;321.31;183.69;A;
01/04/2025;23:20;16.81;73.47;1008.17;28.33;12.96;403.97;4.42;0.52;9.93;340.99;306.34;A;
01/04/2025;23:30;16.47;56.73;1012.16;18.37;13.05;853.2;11.02;1.62;5.9;303.43;253.23;A;
01/04/2025;23:40;21.11;64.23;1009.39;29.02;12.59;673.16;11.08;2.21;7.77;184.73;260.51;A;
01/04/2025;23:50;15.94;59.72;1010.86;17.86;12.89;258.78;0.54;2.24;7.47;16.24;56.75;A;
02/04/2025;00:00;36.53;81.94;1016.71;17.31;13.09;833.84;9.5;5.96;7.56;148.23;132.32;A;
02/04/2025;00:10;18.66;47.69;1010.75;27.36;12.55;432.72;4.56;8.45;0.96;141.19;108.26;A;
02/04/2025;00:20;23.53;51.95;1003.71;19.16;13.07;819.38;3.04;3.64;0.18;349.72;203.37;A;
02/04/2025;00:30;23.71;80.23;1006.99;25.12;12.75;566.63;0.83;5.19;3.57;358.17;128.25;A;
02/04/2025;00:40;10.53;32.25;1017.51;28.12;12.74;368.32;5.45;6.23;0.32;98.6;71.62;A;
02/04/2025;00:50;19.12;43.46;1016.78;25.42;12.81;717.14;1.39;9.28;3.64;49.41;316.19;A;
02/04/2025;01:00;24.44;47.11;1016.75;23.39;12.72;376.81;4.99;2.54;8.08;227.37;262.65;A;
02/04/2025;01:10;15.23;30.38;1008.12;22.15;13.17;382.73;0.39;0.5;6.38;239.41;5.69;A;
02/04/2025;01:20;11.29;83.59;1010.29;24.28;12.61;603.62;9.94;5.62;0.93;36.99;264.0;A;
02/04/2025;01:30;22.34;58.71;1019.83;31.72;12.79;151.56;11.19;7.7;4.48;173.79;58.28;A;
02/04/2025;01:40;22.08;86.61;1019.34;21.51;12.95;625.71;9.58;7.08;3.71;106.29;337.25;A;
02/04/2025;01:50;16.3;75.1;1013.58;26.26;12.76;158.89;7.87;1.59;2.03;165.58;183.5;A;
02/04/2025;02:00;22.76;72.15;1010.8;31.01;12.53;8.92;3.5;9.47;0.31;6.09;280.36;A;
02/04/2025;02:10;23.14;78.06;1012.93;25.22;12.7;610.61;3.1;4.87;6.37;88.81;32.44;A;
02/04/2025;02:20;24.16;40.5;1024.47;25.33;12.73;552.48;3.86;1.86;3.34;181.42;218.12;A;
02/04/2025;02:30;25.74;42.54;1019.96;15.81;13.12;21.75;3.22;4.46;2.6;136.25;71.19;A;
02/04/2025;02:40;25.27;80.31;1016.24;20.95;13.01;237.69;2.23;0.35;1.79;231.69;341.0;A;
02/04/2025;02:50;17.66;68.57;1016.96;24.49;13.06;166.09;1.62;7.62;3.58;169.25;198.17;A;
02/04/2025;03:00;32.38;33.37;1016.22;33.93;12.88;328.14;1.32;7.91;0.86;68.17;174.81;A;
02/04/2025;03:10;18.23;31.11;1012.13;21.54;12.72;431.94;8.77;3.96;5.16;167.83;309.16;A;
02/04/2025;03:20;27.42;78.07;1002.93;27.03;13.01;185.46;5.54;0.67;3.29;36.55;173.63;A;
02/04/2025;03:30;19.87;60.09;1011.55;21.36;12.98;743.75;1.88;8.61;7.71;198.77;173.63;A;
02/04/2025;03:40;11.79;85.7;1026.9;20.22;13.2;468.24;4.11;0.88;2.08;129.48;313.76;A;
02/04/2025;03:50;28.25;42.05;1018.73;18.64;12.61;674.29;2.41;7.47;5.57;98.85;304.43;A;
02/04/2025;04:00;33.04;75.72;1010.25;21.2;12.93;392.97;10.64;6.2;5.85;198.43;306.06;A;
02/04/2025;04:10;27.78;39.22;1023.14;24.15;12.7;62.07;2.34;0.23;5.97;45.48;56.75;A;
02/04/2025;04:20;38.36;48.46;1005.53;30.67;13.04;674.97;1.78;9.33;4.16;43.89;198.73;A;
02/04/2025;04:30;19.8;79.21;1017.53;15.96;13.16;179.42;2.34;0.63;0.25;7.03;252.29;A;
02/04/2025;04:40;19.59;52.76;1014.56;21.76;12.7;265.64;11.08;9.47;8.27;83.81;58.21;A;
02/04/2025;04:50;16.6;82.06;1018.96;28.66;13.01;834.54;0.21;4.89;9.54;283.36;58.86;A;
02/04/2025;05:00;24.98;38.61;1015.72;25.99;13.04;704.86;11.74;2.41;2.64;93.23;307.8;A;
02/04/2025;05:10;26.56;48.57;1012.89;23.55;13.06;56.83;7.45;3.1;8.24;329.44;58.74;A;
02/04/2025;05:20;22.79;78.52;1013.08;21.54;12.85;201.06;7.37;4.97;3.09;40.52;27.3;A;
02/04/2025;05:30;17.77;62.2;1020.53;29.66;12.67;142.44;4.43;5.14;6.56;45.62;119.3;A;
02/04/2025;05:40;19.51;54.88;1018.73;28.75;13.07;555.78;11.31;2.07;6.64;145.22;70.3;A;
02/04/2025;05:50;25.01;54.93;1014.98;25.74;13.17;338.5;6.9;8.61;2.72;325.63;189.74;A;
02/04/2025;06:00;28.25;52.91;1022.63;27.99;12.88;526.46;11.38;0.57;5.39;209.35;102.71;A;
02/04/2025;06:10;17.49;86.99;1014.57;22.7;12.82;740.53;7.99;4.42;3.94;75.67;93.37;A;
02/04/2025;06:20;25.99;54.71;1014.5;25.38;12.98;33.93;8.93;1.79;0.45;266.92;107.28;A;
02/04/2025;06:30;17.06;51.49;1010.31;21.06;12.53;736.8;6.75;5.68;6.81;55.32;84.96;A;
02/04/2025;06:40;23.58;61.16;1013.43;29.57;12.59;755.08;9.84;1.59;8.06;252.81;154.42;A;
02/04/2025;06:50;32.25;75.94;1011.24;21.29;13.06;5.05;2.69;7.62;2.38;55.68;109.34;A;
02/04/2025;07:00;31.81;44.5;1011.86;23.84;12.91;354.82;3.4;3.75;3.01;122.86;60.22;A;
02/04/2025;07:10;22.36;55.81;1010.64;19.52;12.95;688.06;3.2;9.94;5.79;41.41;158.65;A;
02/04/2025;07:20;25.63;86.14;1017.62;25.19;12.55;672.14;0.43;1.8;1.99;93.21;170.47;A;
02/04/2025;07:30;10.94;74.24;1020.39;21.78;12.66;6.55;1.85;8.68;5.75;261.84;57.96;A;
02/04/2025;07:40;29.69;86.13;1011.49;24.01;13.04;226.76;8.98;3.42;6.61;20.34;271.81;A;
02/04/2025;07:50;18.25;48.46;1015.32;23.41;13.07;384.72;10.98;5.47;6.55;283.68;158.9;A;
02/04/2025;08:00;18.32;59.86;1007.84;22.44;12.87;113.17;8.85;9.01;0.36;15.32;95.68;A;
02/04/2025;08:10;33.97;76.21;1014.82;20.01;13.08;644.15;5.76;7.76;4.62;193.67;223.0;A;
02/04/2025;08:20;23.76;38.06;1014.7;23.11;12.74;513.0;11.29;6.04;5.71;254.86;150.47;A;
02/04/2025;08:30;22.71;45.43;1015.86;31.0;13.15;16.64;11.09;4.07;3.19;101.49;318.42;A;
02/04/2025;08:40;25.03;60.14;1018.85;21.99;12.52;59.46;2.45;2.25;1.27;168.09;284.55;A;
02/04/2025;08:50;15.14;40.44;1018.15;21.27;13.17;332.04;11.8;5.76;5.86;275.24;56.94;A;
02/04/2025;09:00;16.03;61.49;1017.3;24.08;12.84;637.6;4.86;1.3;2.03;154.21;294.17;A;
02/04/2025;09:10;24.51;77.61;1013.86;27.13;13.11;181.27;8.73;4.01;7.24;315.35;131.68;A;
02/04/2025;09:20;21.42;89.1;1016.36;22.94;12.67;255.52;11.46;7.6;7.56;298.01;313.92;A;
02/04/2025;09:30;27.42;73.07;1014.68;22.95;12.82;248.43;1.02;6.51;9.45;269.62;109.62;A;
02/04/2025;09:40;26.33;82.13;1027.67;20.44;13.02;286.31;11.0;7.99;9.68;302.67;258.5;A;
02/04/2025;09:50;31.27;58.9;1005.3;16.16;12.89;252.64;3.48;7.15;6.34;219.47;53.71;A;
02/04/2025;10:00;29.33;77.22;1019.52;33.36;13.03;425.15;1.72;6.31;4.84;166.71;348.29;A;
02/04/2025;10:10;21.96;68.94;1013.59;28.79;13.14;70.09;6.62;6.13;7.12;150.0;205.23;A;
02/04/2025;10:20;16.74;83.88;1021.44;17.1;12.81;585.92;2.67;7.42;2.68;328.7;137.89;A;
02/04/2025;10:30;34.63;42.62;1021.88;24.79;13.1;719.65;10.56;4.14;7.49;346.56;170.97;A;
02/04/2025;10:40;15.49;32.27;1016.42;25.55;12.73;546.03;0.73;3.84;8.35;272.52;16.52;A;
02/04/2025;10:50;17.07;79.46;1021.92;27.13;12.54;499.65;1.81;9.85;8.63;166.63;357.8;A;
02/04/2025;11:00;27.09;59.71;1013.06;27.45;12.88;191.79;11.82;9.94;5.81;206.54;72.71;A;
02/04/2025;11:10;34.01;78.78;1015.37;23.13;13.13;346.27;0.8;7.55;9.81;33.55;96.53;A;
02/04/2025;11:20;28.65;61.05;1016.79;24.95;13.09;139.53;4.89;8.59;3.52;196.21;13.59;A;
02/04/2025;11:30;19.13;33.42;1017.04;23.66;12.93;562.56;9.03;0.6;9.97;310.01;186.44;A;
02/04/2025;11:40;18.93;46.43;1011.16;26.07;13.02;708.87;3.96;1.92;1.76;106.52;256.33;A;
02/04/2025;11:50;26.42;30.99;1013.15;25.41;13.12;803.34;11.45;2.97;3.97;252.28;16.46;A;
02/04/2025;12:00;26.65;36.04;1005.5;26.3;12.52;567.97;7.84;9.07;9.49;192.62;282.5;A;
02/04/2025;12:10;26.23;68.8;1006.38;24.47;13.02;845.91;9.25;4.47;5.07;113.69;253.68;A;
02/04/2025;12:20;29.05;81.95;1018.97;32.7;13.19;510.54;8.49;5.79;8.89;273.03;220.4;A;
02/04/2025;12:30;35.36;79.33;1023.41;19.74;13.2;236.95;0.85;3.07;1.22;200.13;60.18;A;
02/04/2025;12:40;25.4;43.51;1010.29;19.18;12.57;878.48;2.83;4.71;4.37;120.13;69.2;A;
02/04/2025;12:50;23.35;36.22;1016.11;19.16;12.51;146.96;5.7;7.8;8.28;136.38;60.65;A;
02/04/2025;13:00;30.05;86.37;1022.21;24.29;13.18;79.61;3.54;6.34;6.79;126.38;311.46;A;
02/04/2025;13:10;24.62;37.7;1015.35;20.76;12.64;467.35;1.23;0.63;6.07;115.02;248.32;A;
02/04/2025;13:20;34.23;70.84;1015.87;24.63;12.61;772.66;5.78;6.79;7.68;255.38;264.18;A;
02/04/2025;13:30;33.51;76.97;1020.37;32.89;13.03;265.59;5.8;4.29;4.4;110.69;312.78;A;
02/04/2025;13:40;20.73;54.68;1016.32;20.03;12.52;845.99;11.53;4.66;8.82;279.27;46.42;A;
02/04/2025;13:50;25.08;79.21;1010.79;26.01;12.66;200.61;5.21;3.14;2.5;183.31;265.39;A;
02/04/2025;14:00;20.58;67.33;1013.23;23.42;12.71;371.04;5.66;0.95;7.64;199.88;352.47;A;
02/04/2025;14:10;30.95;37.5;1012.26;18.48;13.11;665.96;8.28;0.43;2.04;10.9;245.15;A;
02/04/2025;14:20;24.49;75.59;1012.07;22.22;13.03;149.48;9.88;5.84;0.93;33.31;90.15;A;
02/04/2025;14:30;29.83;43.29;1026.09;29.13;12.94;496.46;5.9;2.72;5.69;55.97;161.73;A;
02/04/2025;14:40;31.79;63.12;1019.85;26.77;12.92;692.55;6.24;3.38;1.78;268.82;180.26;A;
02/04/2025;14:50;24.66;89.75;1010.2;27.53;13.04;298.55;7.97;8.47;3.57;122.1;245.04;A;
